time(in ms),duration(in ms),HSL_count,HSL_time,HSR_count,HSR_time,TOL_count,TOL_time,TOR_count,TOR_time,FPS, time(in s), hsL, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
451,102,,,,,,,,,,39,-18.98208618,9.231090546,-20.33191681,13.41579437,561.5076256,224.4720232,586.7666817,280.0698066,552.6012039,326.8618119,561.9335747,225.1197606,571.3796997,280.1599288,550.6032372,328.2081413,19.18,36.66,13.65,22.32,5.01,13.22
491,40,,,,,,,,,,39,-18.77117157,3.104610443,2.181758881,31.54260635,569.0172386,225.4141545,565.31353,279.6856606,555.3952217,329.8031437,580.9325981,226.1984915,603.9888382,277.9579532,590.0808334,332.5191379,22.23,4.15,8.14,6.34,12.85,1.81
601,110,,,,,,,,,,39,-33.20709229,-6.517925262,32.5551796,65.80507278,582.6560211,228.4119415,569.5814896,280.7240295,556.4172363,335.2315915,595.2218628,229.4755447,618.5696983,278.5049629,632.172718,338.2544839,7.7,0.27,7.32,7.72,14.56,6.59
644,43,,,,,,,,,,39,-46.58460617,-18.10466766,31.40184402,62.8068924,597.7646828,231.6555208,581.1491203,280.919112,559.6334839,334.9151015,613.9379311,233.7373602,632.1051979,282.1659529,648.3922005,338.8064504,2.73,1.89,9.21,12.62,11.28,10.03
758,114,,,,,,,,,,39,-64.69345093,-37.96422958,20.9961319,53.08387756,621.0554123,231.403597,601.9061279,281.2616086,567.3272896,329.2760253,630.7976532,232.723099,645.3993988,283.9754784,656.260128,339.8503876,2.86,9.86,6.26,22.04,7.53,11.83
813,55,,,,,,,,,,39,-69.74807739,-47.54631042,10.53394318,44.44044113,633.85746,230.3307885,619.7671509,281.6818678,575.4642105,325.0141454,639.4830894,231.4859945,652.1379662,283.9076614,655.8562088,341.0073638,5.64,21.13,2.12,29.9,6.32,11
890,77,,,,,,,,,,39,-39.81451035,-21.01976395,-8.254909515,25.23685455,647.7539063,226.5393144,658.3077621,279.7899771,619.6135712,314.5095956,658.5354424,227.4117297,665.5578804,283.7735081,657.9253578,341.0872829,8.29,38.44,4.27,32.08,6.24,4.16
955,65,,,,,,,,,,39,-29.60838318,-7.782096863,-16.61138535,16.37695313,654.3367767,225.6463963,667.4018669,278.50757,636.6769409,315.5890024,665.854969,227.2305036,672.3209381,283.190707,656.0026932,340.8866322,12.76,32.9,9.02,24.98,7.13,5.05
38,83,,,,,,,,,,40,-14.01517868,13.21947098,-25.20206451,8.593997955,666.6402626,225.3647,672.0736313,278.6285269,659.2792511,331.4284658,681.4671135,226.5628588,680.2805901,282.9662704,666.0183334,340.3773129,7.28,11.05,7.94,7.75,3.22,1.19
96,58,,,,,,,,,,40,18.03239822,48.30722809,-43.37018967,-8.120155334,681.0543251,226.3124961,696.0742378,278.4983647,703.0939293,331.5177834,695.461235,227.0804662,683.8277435,284.6372652,661.0732269,340.3228533,6.46,4.94,12.93,4.28,2.56,5.59
206,110,,,,,,,,,,40,23.00525665,55.34099579,-51.46465302,-12.2227478,687.1208954,226.642794,696.863308,278.5828221,713.1214714,330.9878647,704.973793,227.1607554,692.5897408,283.8558733,661.4345169,338.9908147,10.63,3.88,17.61,9.92,3.36,2.42
258,52,,,,,,,,,,40,24.88454819,49.10945892,-69.01966095,-34.34389114,708.9163971,228.2478547,720.2114296,278.6113071,736.0593224,331.9514966,724.2325401,228.7916297,711.8223953,286.4435399,667.2862816,337.4159932,19.27,2.3,26.16,9.5,2.59,3.04
353,95,,,,,,,,,,40,11.79994583,40.06095886,-64.13698196,-42.93142319,721.0233307,228.3829898,735.714283,278.095808,738.2265472,332.582674,739.3246651,228.7447983,738.0673027,285.9418488,687.4036217,326.7307806,34.23,7.95,34.94,1.5,3.64,6.15
402,49,,,,,,,,,,40,5.356807709,34.50078964,-61.98165894,-43.68925095,728.0453682,228.5045904,741.4834213,278.4256232,738.292408,333.2454264,747.2941017,228.7699682,744.7683907,285.4347503,697.6969528,321.6431558,34.74,10.49,36.17,1.86,1.52,5.08
495,93,,,,,,,,,,40,-4.095954895,20.2340126,-39.50340271,-20.3682518,737.8292084,228.4861475,745.3388786,278.4236276,738.9585686,332.7039206,757.8088188,228.3887029,773.9335442,280.8045602,732.7675438,317.8286362,41.84,8.62,32.02,3.77,12.54,2.11
545,50,,,,,,,,,,40,-14.45142746,6.775875092,-15.65717697,14.98615265,747.0104599,228.4774572,745.2871513,278.4218252,739.458046,332.412343,767.6795197,228.4406519,790.5814934,280.0022793,761.7381477,330.0876081,31.98,2.36,17.94,3.47,16.98,2.56
637,92,,,,,,,,,,40,-24.0678978,0.895900726,11.79737091,42.94137955,756.6721344,228.5357147,749.4861603,278.2753766,738.3296585,332.3385715,776.9228554,229.777438,797.5496864,278.7130165,795.1218224,335.3173363,14.72,1.98,1.37,6.61,17.11,5.4
685,48,,,,,,,,,,40,-34.79375839,-9.809818268,20.34885406,49.71851349,768.6441422,230.1834226,758.5078239,278.4557176,740.1921272,332.3212552,788.5324287,232.9356909,801.8092918,281.4553392,811.4333153,336.7802453,3.16,4.09,5.61,10.82,12.43,7.23
782,97,,,,,,,,,,40,-39.84455109,-14.01437759,15.97011566,45.8052063,775.824337,231.2292427,767.851696,278.3360159,743.2583427,332.089963,795.8129311,234.5371467,808.1774712,284.2533445,815.3912544,339.099412,3.73,8.99,4.25,14.42,11.21,5.75
833,51,,,,,,,,,,40,-48.68574142,-22.66525269,5.150871277,34.95660782,788.9939117,231.2017876,780.737114,278.981806,749.1058731,328.6518323,807.4265671,234.3685699,819.0421486,285.7189572,818.9611244,339.5829177,7.3,14.16,0.03,19.7,10.35,6.82
915,82,,,,,,,,,,40,-45.39899826,-22.62107849,-7.011222839,25.16424179,798.1285286,228.8827175,798.3207893,278.6436546,763.1485176,319.0149987,817.9543304,232.9088956,823.6621284,286.1073518,818.7361908,340.8694124,6.35,26.23,2.88,26.1,7.51,1.14
967,52,,,,,,,,,,40,-38.98607254,-13.71883392,-10.87709427,17.92150497,804.4918442,227.7154416,808.4021759,278.1117404,776.6718864,320.2956998,824.4380951,231.2091905,826.2165642,285.9237921,820.258255,340.2517855,4.58,25.43,3.52,22.92,6.37,1.38
72,105,,,,,,,,,,41,-29.78210449,-4.740543365,-16.00622177,12.58243561,810.2446747,227.3443955,811.7598152,278.5768676,789.1515541,329.8259318,831.8863678,230.8536744,827.7541351,285.9886801,821.2462807,340.5355096,1.43,14.89,3.82,13.93,3.4,0.18
125,53,,,,,,,,,,41,-20.24271011,-4.940929413,-17.43003845,10.61868668,812.2682762,227.3450232,813.5232925,279.7231901,796.7476845,332.3062563,833.9102554,230.593527,829.4911766,286.5147042,821.7612648,340.4787326,2.06,10.95,4.59,10.17,4.19,0.36
206,81,,,,,,,,,,41,-17.36103058,-2.57686615,-19.57695007,4.969940186,815.3774643,227.2100329,814.9608421,279.7900736,803.7939835,334.2221582,837.635479,229.9103683,830.897541,285.5325007,822.302742,339.5881641,1.21,6.33,5.1,6.58,3.05,1.27
273,67,,,,,,,,,,41,-19.10173416,-0.510864258,-22.29972839,1.635246277,817.93293,227.2017288,815.3460503,279.8626864,804.237957,333.7237823,840.1202202,229.8565364,831.3420868,285.5399358,822.0402145,339.4499874,0.48,5.03,5.53,6.61,1.7,2.08
343,70,,,,,,,,,,41,-20.69200516,-1.266460419,-24.22988892,0.003261566,819.4394302,226.9476807,815.051136,279.7314942,803.3351326,333.3436596,841.2859726,229.4794393,831.8776703,285.3071952,821.3258743,338.7130451,0.93,4.33,6.33,7,2.03,3.45
418,75,,,,,,,,,,41,-21.24898911,-0.266532898,-24.96631622,-0.258464813,820.2945328,226.5306401,814.618206,279.7177505,803.2657814,333.1698203,841.5377426,229.340812,832.2223091,285.2156889,821.0737038,338.4142578,1.37,3.38,6.71,6.8,2.19,3.97
483,65,,,,,,,,,,41,-21.1205864,-0.985679626,-25.1855278,-0.364608765,820.1934814,226.3622564,814.6564865,279.7055519,803.40271,333.0621886,841.528244,229.2651898,832.435112,285.0628996,820.9252167,338.0276334,1.73,3.42,6.96,6.76,2.46,4.07
548,65,,,,,,,,,,41,-20.93982697,-0.595378876,-24.84518051,-0.135669708,819.9864578,226.0458308,814.8731804,279.6566927,803.5238457,332.9967213,841.2356186,228.7719798,832.5890923,284.9385953,820.9623528,337.8785133,2.09,3.75,7.03,6.81,2.54,3.71
632,84,,,,,,,,,,41,-20.92781067,-0.452270508,-24.79270935,-0.10602951,819.8578262,225.7893848,815.038662,279.5998514,803.6378288,332.9632795,841.1666107,228.5035121,832.7046776,284.8729992,820.9261894,337.7261424,2.32,3.97,7.13,6.84,2.67,3.55
683,51,,,,,,,,,,41,-20.80101013,-0.390129089,-24.77474213,-0.083026886,819.745388,225.6468147,815.105381,279.5934784,803.7177658,332.9399121,841.1245537,228.4020764,832.7636147,284.8666263,820.8964348,337.6414597,2.45,4.08,7.2,6.84,2.82,3.5
771,88,,,,,,,,,,41,-20.66425323,-0.483341217,-24.73331451,-0.030155182,819.6264839,225.4927379,815.1444626,279.5236659,803.8113785,332.8078187,841.0595512,228.3026201,832.7953148,284.8508227,820.8703995,337.5274551,2.56,4.15,7.24,6.81,2.95,3.43
817,46,,,,,,,,,,41,-20.57882309,-0.512752533,-24.70556259,-0.026779175,819.5830536,225.4210263,815.1418877,279.502809,803.8877678,332.7591205,841.0323715,228.2494479,832.8015518,284.8436129,820.8595848,337.4875116,2.59,4.13,7.26,6.77,2.99,3.41
900,83,,,,,,,,,,41,-20.5321312,-0.534896851,-24.67723846,-0.050067902,819.5375633,225.3444546,815.1230621,279.4688845,803.9198112,332.6928806,841.0023308,228.1897742,832.8046417,284.8371112,820.8455086,337.4561298,2.63,4.13,7.27,6.74,3.06,3.4
948,48,,,,,,,,,,41,-20.5206871,-0.527858734,-24.66516495,-0.061798096,819.5190811,225.2992809,815.1123047,279.4545293,803.9219284,332.6673889,840.9884834,228.1585693,832.8013802,284.8316717,820.8381271,337.4535549,2.64,4.13,7.27,6.74,3.09,3.4
48,100,,,,,,,,,,42,-20.51221848,-0.523509979,-24.65269089,-0.090808868,819.5008278,225.2525783,815.1010323,279.4441974,803.9229584,332.6406097,840.9729767,228.1165177,832.7981186,284.8295152,820.8315468,337.4477613,2.65,4.13,7.28,6.73,3.11,3.4
87,39,,,,,,,,,,42,-20.51490784,-0.524654388,-24.64874268,-0.096302032,819.4948769,225.2290016,815.098629,279.4401419,803.9160919,332.6288939,840.9677124,228.0980587,832.7965736,284.8346329,820.831089,337.4486625,2.66,4.13,7.28,6.73,3.12,3.4
