time(in ms), time(in s),hsL, hsL*Vwidth, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
709,26,29.53016281,28348.9563,66.08596802,-75.34727097,-44.33647156,530.8838654,219.9561113,553.7422943,284.7021532,567.6394844,349.9102163,532.3859024,218.7080151,527.1949196,287.6019323,468.8607216,344.4013345,27.59,4.4,30,6.86,3.31,10.54
786,26,-48.56145859,-46619.00024,-52.92297363,13.50854874,48.49239349,549.0049553,216.1673409,546.3549614,287.0098293,555.0535011,340.5057049,550.9378052,214.9107796,567.0296288,284.5860243,570.0436592,347.7828169,5.87,6.43,1.56,5.19,6.22,2.33
869,26,-7.208175659,-6919.848633,22.70158768,-51.8494606,-34.12651062,569.085331,213.3088732,578.3733559,287.1644211,565.90765,344.7277057,565.6769371,212.3200071,574.9600983,289.4329262,531.7244911,335.4662955,31.72,10.99,27.85,6.93,2.38,1.3
933,26,-29.10375595,-27939.60571,-0.626220703,-29.12092209,4.981155396,583.0539322,213.1353235,599.2235184,282.9670429,564.3198395,340.6378627,579.7884178,212.6414698,587.7917862,280.385524,565.1580048,337.0148849,16.47,26.22,12.66,18.79,2.09,4.78
51,27,-15.2794075,-14668.2312,13.32778931,-17.23463058,4.341430664,598.5764694,214.2206043,621.543045,281.7122841,590.5340195,341.5550816,587.8859138,214.4540209,580.4474258,283.3234119,575.7404137,342.23544,0.9,27.09,2.56,16.24,5.04,9.47
106,27,-44.46802139,-42689.30054,-10.87520599,43.50053787,74.43265915,613.0414581,216.7890877,598.5201073,284.1691124,575.3610992,346.78864,608.5078812,217.3745441,637.818203,283.3944476,653.2600594,346.9394338,6.24,4.84,7.8,11.73,12.7,6.04
221,27,-56.24708176,-53997.19849,-23.20695877,39.54637527,66.73141479,626.0902977,219.4296205,617.7706146,286.1420488,576.4161873,348.1996322,622.370224,219.0802038,651.3666344,283.0520797,666.3791656,346.8865836,6.77,16.54,7.55,20.53,13.78,2.58
281,27,22.80258179,21890.47852,55.84287643,-66.19897842,-33.724823,646.9745636,220.5851001,668.6267281,284.7105861,673.0742455,347.9977262,639.3184662,220.1153219,626.5021133,284.6864462,583.2600975,345.5154705,15.42,8.49,21.78,2.28,7.21,9.23
386,27,9.114990234,8750.390625,45.64716339,-78.93259048,-52.99324036,662.1958351,220.6926191,683.5832405,284.7130001,678.0145454,349.3593764,656.3078499,220.9861761,634.0517807,285.8529818,587.4707222,337.9883981,15.76,13.42,26.67,2.75,11.2,8.23
452,27,-60.03433228,-57632.95898,-48.46710205,-9.347934723,26.14969254,665.9153366,219.8451483,662.405262,283.2696605,616.9352531,327.9956782,678.0401802,220.8679712,689.761219,285.8286488,676.3731194,349.0789998,12.59,27.98,6.77,29.76,4.96,3.89
538,27,-50.68634033,-48658.88672,-27.91070938,-20.58031082,18.36038589,675.6041908,214.346711,683.0898857,278.5664713,637.8709602,324.2293417,689.3764114,215.5674005,696.5080833,283.2561743,678.3883667,348.5993242,12.26,32.87,8.85,29.11,4.38,0.08
615,27,-20.68227768,-19854.98657,11.12005234,-36.21356964,4.55411911,684.5641136,212.237159,696.3697243,272.5642025,674.893055,328.5361862,700.5258179,213.8340443,699.8969078,282.3706269,675.9926033,348.3739865,11.22,18.46,11.5,12.17,2.08,1.9
704,27,-3.503093719,-3362.969971,27.71730423,-34.02929306,4.559726715,691.4636993,211.0263509,697.4103928,273.2046175,694.1043663,335.5489826,709.7760201,212.4490428,709.2602348,278.3285165,685.3934097,347.9713655,10.66,4.79,10.89,1.69,2.83,0.03
776,27,34.85807419,33463.75122,63.32748413,-47.56753922,-8.112201691,704.0271378,211.4997822,724.6891594,273.3861494,741.3261795,336.4476621,718.0642319,212.6855814,706.1008644,278.951422,679.124279,348.7186396,6.47,2.2,12.25,8.46,1.57,6.69
867,27,44.40776825,42631.45752,69.66121674,-58.50563049,-21.17231369,713.8968658,212.6752335,736.1254692,275.0190997,757.675209,336.008606,729.0233803,213.8601476,707.5299454,281.7563152,679.5278549,348.9294291,3.1,0.1,13.18,11.26,5.78,7.73
946,27,34.33628082,32962.82959,62.00065613,-69.13370132,-32.45801926,725.0434685,213.5714024,746.7247581,278.1333697,761.8627167,339.7841799,739.3756485,215.8643049,714.2392159,284.6498823,680.483036,348.9139795,4.84,2.83,16.44,7.88,8.15,7.05
38,28,24.36098099,23386.54175,54.23452377,-77.79996872,-41.43035889,735.0131607,214.3595856,748.9072609,278.0827081,763.5851669,341.6164291,749.1471291,216.2668777,725.1107597,284.8450935,682.476368,345.8312523,10.31,0.41,21.45,7.42,6.88,3.12
97,28,16.7656517,16095.02563,47.45573044,-79.20318604,-45.23855209,744.3910789,213.3427817,758.0350113,277.8518665,764.7006798,341.4167762,756.6442108,215.417701,742.0991707,284.7693908,689.1837502,342.5143039,20.54,3.41,27.25,3.39,1.72,3.14
196,28,4.493236542,4313.50708,35.56280136,-68.87283325,-39.98703003,753.0477333,212.8179967,765.7653809,278.8291454,762.1814919,342.2498596,763.6255074,214.4662195,760.5697632,284.0902877,708.9876938,333.8359523,28.84,8.01,30.24,1.8,3.97,3.13
263,28,3.977508545,3818.408203,35.18217087,-58.36818695,-33.07170868,756.576004,212.2361773,768.9841461,278.8703442,764.6097565,342.1922135,773.8740349,214.0740913,768.6653709,282.9145789,729.7027588,334.1811526,20.71,8.2,23.14,2.21,1.9,4.55
349,28,-0.705928802,-677.6916504,28.80666733,-39.20288086,-17.29757309,759.1504669,211.1019731,765.6927681,277.9174304,763.9001083,341.6116333,783.406105,212.5407583,787.3880196,281.2196052,756.3838005,334.5389056,19.98,4.06,18.11,0.89,5.28,3.1
413,28,-6.346492767,-6092.633057,22.48580933,-27.89319992,4.811096191,765.4187393,211.1519587,769.1892242,277.0183969,765.6491089,341.6063869,788.6992264,212.9943949,791.6352081,282.0027995,769.6936798,343.0131626,12.81,3.61,11.42,1.75,5.24,1.87
506,28,-9.895591736,-9499.768066,15.82586288,-17.15623856,13.70807648,769.4670296,211.6891354,770.8817482,279.2234623,766.1896706,343.9925981,792.7899742,214.1755432,794.311924,284.6305704,782.3720741,349.0981185,6.64,3.01,5.93,2.32,4.68,0
585,28,-13.86932373,-13314.55078,10.32445908,-21.54779434,8.632450104,774.5183372,211.9028699,774.6155548,279.5242774,767.0392227,343.9989388,796.8069649,214.6286809,794.7379875,286.1910689,780.9843636,350.6156158,5.92,3.83,6.83,3.77,3.35,1.78
657,28,-18.84487152,-18091.07666,4.848976135,-28.36978912,5.616416931,779.2310143,211.928764,778.1366158,279.0864444,767.1730614,344.0920866,800.1647758,214.6444523,794.2711258,286.0503173,780.1554108,351.6515386,4.24,4.89,6.88,5.41,1.25,3.31
733,28,-22.05888748,-21176.53198,-2.955551147,-32.20653534,0.009098053,782.6411247,212.7059716,779.6096992,279.0620792,767.3039818,344.4482946,805.4605293,215.6698823,797.5671387,285.8672404,781.8070221,351.4363074,4.08,4.57,7.68,6.03,0.38,4.48
799,28,-21.75865173,-20888.30566,-4.889030457,-31.79214478,-3.057231903,782.9886246,212.8753853,778.9458847,279.2223036,767.2725677,344.7862852,805.8250809,215.8038586,798.3491707,285.1297832,781.7717743,351.0574722,4.58,3.76,8.04,5.71,0.26,4.83
